0.00	0.00	0.00015059
0.00	0.01	0.00045168
0.00	0.02	0.00075250
0.00	0.03	0.00105287
0.00	0.04	0.00135260
0.00	0.04	0.00165151
0.00	0.05	0.00194943
0.00	0.06	0.00224618
0.00	0.07	0.00254158
0.00	0.07	0.00283544
0.00	0.08	0.00312759
0.00	0.09	0.00341787
0.00	0.10	0.00370608
0.00	0.11	0.00399206
0.00	0.11	0.00427563
0.00	0.12	0.00455663
0.00	0.13	0.00483489
0.00	0.14	0.00511023
0.00	0.14	0.00538250
0.00	0.15	0.00565152
0.00	0.16	0.00591714
0.00	0.17	0.00617919
0.00	0.18	0.00643752
0.00	0.18	0.00669198
0.00	0.19	0.00694240
0.00	0.20	0.00718864
0.00	0.21	0.00743055
0.00	0.21	0.00766799
0.00	0.22	0.00790080
0.00	0.23	0.00812886
0.00	0.24	0.00835202
0.00	0.25	0.00857015
0.00	0.25	0.00878312
0.00	0.26	0.00899079
0.00	0.27	0.00919306
0.00	0.28	0.00938978
0.00	0.29	0.00958085
0.00	0.29	0.00976614
0.00	0.30	0.00994556
0.00	0.31	0.01011898
0.00	0.32	0.01028631
0.00	0.32	0.01044744
0.00	0.33	0.01060228
0.00	0.34	0.01075073
0.00	0.35	0.01089270
0.00	0.36	0.01102812
0.00	0.36	0.01115689
0.00	0.37	0.01127894
0.00	0.38	0.01139420
0.00	0.39	0.01150259
0.00	0.39	0.01160406
0.00	0.40	0.01169853
0.00	0.41	0.01178596
0.00	0.42	0.01186629
0.00	0.43	0.01193947
0.00	0.43	0.01200546
0.00	0.44	0.01206422
0.00	0.45	0.01211571
0.00	0.46	0.01215990
0.00	0.46	0.01219677
0.00	0.47	0.01222629
0.00	0.48	0.01224844
0.00	0.49	0.01226322
0.00	0.50	0.01227061
0.00	0.50	0.01227061
0.00	0.51	0.01226322
0.00	0.52	0.01224844
0.00	0.53	0.01222629
0.00	0.54	0.01219677
0.00	0.54	0.01215990
0.00	0.55	0.01211571
0.00	0.56	0.01206422
0.00	0.57	0.01200546
0.00	0.57	0.01193947
0.00	0.58	0.01186629
0.00	0.59	0.01178596
0.00	0.60	0.01169853
0.00	0.61	0.01160406
0.00	0.61	0.01150259
0.00	0.62	0.01139420
0.00	0.63	0.01127894
0.00	0.64	0.01115689
0.00	0.64	0.01102812
0.00	0.65	0.01089270
